league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills
NACL,Winthrop University,Apex Mission Impossible,Renekton,Lillia,Zed,Varus,Rell,Jax,Sejuani,Yone,Ashe,Seraphine,29
NACL,Apex Mission Impossible,Winthrop University,Rumble,Wukong,Azir,Corki,Renata Glasc,Galio,Xin Zhao,Ryze,Zeri,Rakan,24
LCKC,OKSavingsBank BRION Challengers,KT Rolster Challengers,Sion,Naafiri,Ryze,Ezreal,Leona,Rumble,Poppy,Azir,Corki,Alistar,40
LCKC,Nongshim Esports Academy,DRX Challengers,Rumble,Skarner,Yone,Miss Fortune,Rell,Galio,Xin Zhao,Azir,Ashe,Alistar,35
LCKC,Hanwha Life Esports Challengers,T1 Esports Academy,Gwen,Sejuani,Viktor,Jinx,Rell,Rumble,Skarner,Azir,Jhin,Alistar,26
LCKC,Nongshim Esports Academy,DRX Challengers,Aatrox,Maokai,Corki,Ezreal,Nautilus,Ambessa,Naafiri,Orianna,Varus,Pantheon,34
LCKC,T1 Esports Academy,Hanwha Life Esports Challengers,Gnar,Lillia,Corki,Kai'Sa,Nautilus,Renekton,Zyra,Yone,Miss Fortune,Braum,41
LCKC,OKSavingsBank BRION Challengers,KT Rolster Challengers,Olaf,Vi,Sylas,Xayah,Rakan,Ambessa,Viego,Ahri,Tristana,Pantheon,43
LCKC,Hanwha Life Esports Challengers,T1 Esports Academy,Aatrox,Vi,Taliyah,Xayah,Rakan,Ambessa,Wukong,Galio,Kalista,Renata Glasc,28
LCKC,KT Rolster Challengers,OKSavingsBank BRION Challengers,Gwen,Xin Zhao,Annie,Jhin,Karma,Gragas,Maokai,Tryndamere,Ashe,Braum,32
LCK,Nongshim RedForce,OKSavingsBank BRION,Gwen,Sejuani,Yone,Ezreal,Elise,Jayce,Vi,Aurora,Miss Fortune,Rakan,28
LCK,OKSavingsBank BRION,Nongshim RedForce,Jax,Naafiri,LeBlanc,Varus,Alistar,Gangplank,Nocturne,Orianna,Kai'Sa,Nautilus,36
LCK,BNK FEARX,Dplus KIA,Gwen,Maokai,Yone,Miss Fortune,Rell,Rumble,Ivern,Corki,Ezreal,Leona,23
LCK,BNK FEARX,Dplus KIA,Jax,Xin Zhao,Ahri,Kalista,Renata Glasc,Gnar,Skarner,Taliyah,Senna,Cho'Gath,29
LCK,Dplus KIA,BNK FEARX,Aatrox,Naafiri,Aurora,Kai'Sa,Gragas,K'Sante,Vi,Azir,Ashe,Braum,30
TCL,Papara SuperMassive,Misa Esports,Ambessa,Vi,Ahri,Miss Fortune,Rakan,Aatrox,Sejuani,Azir,Corki,Rell,31
TCL,BoostGate Esports,Eternal Fire,Poppy,Lillia,Jayce,Varus,Nautilus,Ambessa,Vi,Ahri,Kai'Sa,Leona,25
LIT,aNc Legends,EKO Esports,Gragas,Dr. Mundo,Ezreal,Swain,Alistar,Yone,Pantheon,Syndra,Ashe,Rell,30
NLC,DMG Esports,Bulldog Esports,Jayce,Vi,Hwei,Miss Fortune,Rell,Rumble,Pantheon,Aurora,Ezreal,Maokai,35
TCL,Beşiktaş Esports,BBL Dark Passage,Galio,Vi,Viktor,Varus,Rell,Rumble,Xin Zhao,Aurora,Ezreal,Nautilus,23
LIT,Zena Esports,AVE Axolotl,Renekton,Naafiri,Ryze,Sivir,Nautilus,Gnar,Poppy,Ahri,Varus,Rell,25
NLC,Ruddy Esports,Lundqvist Lightside,Jax,Vi,Ahri,Varus,Nautilus,K'Sante,Naafiri,Sylas,Jhin,Rell,24
TCL,ULF Esports,Bushido Wildcats,Gwen,Naafiri,Galio,Miss Fortune,Leona,Akali,Pantheon,Irelia,Varus,Rell,35
LIT,GMBLERS Esports,Colossal Gaming,Aatrox,Lillia,Yone,Miss Fortune,Leona,Gragas,Zyra,Zed,Varus,Rell,33
NLC,Bulldog Esports,NORD Esports,Gnar,Skarner,Taliyah,Ezreal,Rell,Camille,Vi,Azir,Kai'Sa,Braum,29
NLC,Lundqvist Lightside,DMG Esports,Rumble,Jarvan IV,Orianna,Miss Fortune,Leona,Jayce,Skarner,Hwei,Corki,Rell,39
NLC,NORD Esports,Ruddy Esports,Gwen,Sejuani,Yone,Ezreal,Alistar,Fiora,Skarner,Aurora,Varus,Rakan,41
NACL,DarkZero Dragonsteel,Luminosity Gaming,Rumble,Vi,Ryze,Lucian,Milio,Jayce,Skarner,Anivia,Ezreal,Karma,21
NACL,Luminosity Gaming,DarkZero Dragonsteel,Gwen,Sejuani,Aurelion Sol,Varus,Elise,Ambessa,Poppy,Azir,Corki,Rakan,22
NACL,Supernova,Apex Mission Impossible,Rumble,Skarner,Orianna,Aphelios,Lulu,Aurora,Vi,Yone,Lucian,Milio,26
NACL,Apex Mission Impossible,Supernova,Ambessa,Sejuani,Cho'Gath,Miss Fortune,Neeko,Jayce,Wukong,Ahri,Jinx,Maokai,24
LCKC,DN Freecs Challengers,BNK FEARX Youth,Rumble,Sejuani,Yone,Xayah,Alistar,Gwen,Wukong,Akali,Kai'Sa,Gragas,37
LCKC,Dplus KIA Challengers,Gen.G Global Academy,Rumble,Sejuani,Yone,Corki,Rell,Ambessa,Naafiri,Ahri,Xayah,Rakan,32
LCKC,Dplus KIA Challengers,Gen.G Global Academy,Aatrox,Skarner,Azir,Miss Fortune,Braum,Kennen,Xin Zhao,Sylas,Ezreal,Neeko,34
LCKC,DN Freecs Challengers,BNK FEARX Youth,K'Sante,Viego,Azir,Jhin,Rell,Renekton,Lillia,Corki,Ashe,Leona,36
LCKC,Gen.G Global Academy,Dplus KIA Challengers,Jax,Vi,Aurora,Jhin,Alistar,Sion,Wukong,Ryze,Varus,Renata Glasc,18
LCK,Hanwha Life Esports,KT Rolster,Jayce,Xin Zhao,Taliyah,Kai'Sa,Rakan,Rumble,Skarner,Azir,Ezreal,Alistar,29
LCK,KT Rolster,Hanwha Life Esports,Gwen,Nidalee,Tristana,Ashe,Neeko,Ambessa,Wukong,Sylas,Kalista,Renata Glasc,31
LCK,Hanwha Life Esports,KT Rolster,Jax,Sejuani,Ryze,Varus,Pantheon,K'Sante,Naafiri,Orianna,Miss Fortune,Leona,25
LCK,DRX,T1,Jayce,Naafiri,Aurora,Corki,Rell,Rumble,Xin Zhao,Azir,Jhin,Alistar,35
LCK,DRX,T1,Aatrox,Vi,Ahri,Ashe,Braum,Ambessa,Lee Sin,Sylas,Miss Fortune,Rakan,24
TCL,Misa Esports,Beşiktaş Esports,Rumble,Pantheon,Taliyah,Corki,Rell,Galio,Nocturne,Syndra,Miss Fortune,Alistar,42
TCL,BBL Dark Passage,Eternal Fire,K'Sante,Sejuani,Ryze,Varus,Braum,Rumble,Nidalee,Yone,Ashe,Alistar,23
LIT,Colossal Gaming,Zena Esports,Pantheon,Vi,Galio,Ezreal,Rell,Ambessa,Xin Zhao,Viktor,Corki,Zac,21
TCL,Papara SuperMassive,ULF Esports,Jayce,Xin Zhao,Azir,Corki,Bard,Rumble,Viego,Yone,Miss Fortune,Rakan,38
LIT,EKO Esports,GMBLERS Esports,Sett,Olaf,Zilean,Ashe,Rell,Rumble,Vi,Ambessa,Varus,Janna,46
TCL,BoostGate Esports,Bushido Wildcats,Darius,Zyra,Yone,Varus,Alistar,Gwen,Sejuani,Corki,Ezreal,Rell,27
LIT,aNc Legends,AVE Axolotl,Ambessa,Vi,Taliyah,Ashe,Braum,Gwen,Maokai,Tristana,Varus,Nautilus,36
NACL,Pulse Star,Winthrop University,Aurora,Skarner,Sylas,Varus,Nautilus,Rumble,Vi,Ahri,Jhin,Leona,35
NACL,Winthrop University,Pulse Star,Jayce,Sejuani,Viktor,Miss Fortune,Maokai,Sion,Xin Zhao,Azir,Corki,Rell,37
NACL,Winthrop University,Pulse Star,K'Sante,Lillia,Tristana,Ashe,Braum,Renekton,Zyra,Yone,Caitlyn,Milio,15
NACL,CCG Esports,Near Airport,Jayce,Lillia,Hwei,Ezreal,Alistar,Ambessa,Skarner,Ryze,Kai'Sa,Rakan,31
NACL,Near Airport,CCG Esports,Gragas,Naafiri,Azir,Jhin,Bard,K'Sante,Maokai,Syndra,Miss Fortune,Rell,21
NACL,CCG Esports,Near Airport,Renekton,Vi,Taliyah,Lucian,Milio,Garen,Zyra,Galio,Corki,Leona,25
LCK,OKSavingsBank BRION,BNK FEARX,Renekton,Vi,Taliyah,Corki,Rell,Ambessa,Naafiri,Sylas,Ezreal,Elise,30
LCK,BNK FEARX,OKSavingsBank BRION,Rumble,Wukong,Ryze,Xayah,Alistar,Jayce,Xin Zhao,Ahri,Zeri,Rakan,25
LPL,FunPlus Phoenix,Invictus Gaming,Rumble,Xin Zhao,Ahri,Xayah,Nautilus,Ambessa,Vi,Taliyah,Kai'Sa,Leona,46
LCK,OKSavingsBank BRION,BNK FEARX,Gwen,Ivern,Tristana,Ashe,Nautilus,Fiora,Skarner,Azir,Kai'Sa,Leona,21
LCK,DN Freecs,Nongshim RedForce,Jayce,Vi,Taliyah,Corki,Rakan,Rumble,Naafiri,Azir,Kai'Sa,Leona,42
LPL,FunPlus Phoenix,Invictus Gaming,Kennen,Sejuani,Tristana,Ashe,Braum,Renekton,Lillia,Yone,Jhin,Rakan,45
LCK,DN Freecs,Nongshim RedForce,Aatrox,Xin Zhao,Ahri,Ezreal,Rell,Gnar,Skarner,Galio,Zeri,Nautilus,37
LPL,ThunderTalk Gaming,Bilibili Gaming,Galio,Xin Zhao,Ahri,Varus,Alistar,Rumble,Vi,Taliyah,Miss Fortune,Rell,29
LPL,ThunderTalk Gaming,Bilibili Gaming,Ambessa,Sejuani,Yone,Ashe,Renata Glasc,Jayce,Lillia,Tristana,Ezreal,Leona,34
LEC,Rogue,Team Vitality,Rumble,Sejuani,Yone,Ezreal,Leona,Akali,Pantheon,Ahri,Varus,Rell,47
LPL,Anyone's Legend,Top Esports,Sion,Naafiri,Ryze,Corki,Pantheon,Mordekaiser,Skarner,Aurora,Kalista,Neeko,38
LEC,Rogue,Team Vitality,Jayce,Maokai,Viktor,Corki,Rakan,Yasuo,Dr. Mundo,Hwei,Kalista,Alistar,27
LPL,Top Esports,Anyone's Legend,Renekton,Maokai,Tristana,Miss Fortune,Alistar,Gnar,Sejuani,Yone,Kai'Sa,Nautilus,34
LEC,Team BDS,Karmine Corp,Gnar,Zyra,Lucian,Ashe,Leona,Ambessa,Maokai,Taliyah,Kalista,Braum,26
LPL,Anyone's Legend,Top Esports,Gwen,Volibear,Ahri,Jhin,Braum,Kennen,Vi,Azir,Ezreal,Karma,30
LEC,Karmine Corp,Team BDS,Rumble,Vi,Yone,Kai'Sa,Alistar,K'Sante,Xin Zhao,Viktor,Sivir,Rell,22
LEC,G2 Esports,Team Heretics,Gnar,Dr. Mundo,Akali,Varus,Rell,Camille,Zyra,Corki,Ezreal,Alistar,26
LTA S,Isurus Estral,paiN Gaming,Gwen,Skarner,Azir,Jhin,Leona,Rumble,Maokai,Corki,Miss Fortune,Alistar,22
LEC,Team Heretics,G2 Esports,Ambessa,Skarner,Viktor,Miss Fortune,Pyke,Renekton,Ivern,Hwei,Ashe,Leona,32
LTA S,Vivo Keyd Stars,Fluxo W7M,Aatrox,Vi,Ahri,Varus,Leona,Ambessa,Xin Zhao,Taliyah,Miss Fortune,Alistar,29
LTA S,LOUD,RED Canids,Poppy,Vi,Ryze,Ezreal,Rakan,Ambessa,Naafiri,Taliyah,Varus,Rell,22
LTA N,Team Liquid,FlyQuest,Gwen,Jarvan IV,Ahri,Kalista,Renata Glasc,Vladimir,Xin Zhao,Ryze,Varus,Neeko,26
LTA N,Cloud9,100 Thieves,Gwen,Lee Sin,Ryze,Ezreal,Alistar,Riven,Vi,Azir,Varus,Renata Glasc,35
LTA N,Disguised,LYON,Gwen,Skarner,Viktor,Varus,Rakan,Jax,Sejuani,Yone,Kai'Sa,Neeko,26
LCK,KT Rolster,Dplus KIA,Gwen,Xin Zhao,Aurora,Jhin,Rell,Jayce,Sejuani,Ryze,Ezreal,Poppy,32
LCK,KT Rolster,Dplus KIA,Gnar,Vi,Taliyah,Tristana,Rakan,Aatrox,Naafiri,Ahri,Kai'Sa,Nautilus,28
LPL,JD Gaming,Ninjas in Pyjamas,Jayce,Skarner,Taliyah,Kalista,Renata Glasc,K'Sante,Xin Zhao,Galio,Kai'Sa,Neeko,41
LPL,Ninjas in Pyjamas,JD Gaming,Poppy,Naafiri,Lissandra,Corki,Alistar,Ambessa,Vi,Ahri,Miss Fortune,Nautilus,33
LCK,T1,Gen.G,Gwen,Xin Zhao,Ahri,Jhin,Alistar,Rumble,Skarner,Azir,Miss Fortune,Rakan,38
LCK,Gen.G,T1,Gnar,Naafiri,Galio,Ezreal,Nautilus,Ambessa,Nocturne,Ryze,Corki,Poppy,37
LPL,ThunderTalk Gaming,FunPlus Phoenix,Gragas,Xin Zhao,Ryze,Miss Fortune,Nautilus,Jayce,Vi,Ahri,Kai'Sa,Alistar,31
LPL,ThunderTalk Gaming,FunPlus Phoenix,Sion,Poppy,Taliyah,Jinx,Lulu,Gnar,Viego,Galio,Ashe,Renata Glasc,16
LEC,Team BDS,SK Gaming,Gnar,Skarner,Azir,Jhin,Rell,Jayce,Lillia,Yone,Varus,Leona,29
LEC,Team BDS,SK Gaming,Gwen,Maokai,Taliyah,Miss Fortune,Alistar,Akali,Sejuani,Hwei,Corki,Nautilus,28
LTA S,FURIA,Isurus Estral,Camille,Skarner,Aurora,Miss Fortune,Alistar,Ambessa,Sejuani,Ahri,Kai'Sa,Rakan,20
LTA S,Vivo Keyd Stars,RED Canids,Gwen,Sejuani,Yone,Kai'Sa,Rakan,Aurora,Vi,Akali,Ezreal,Alistar,35
LEC,Karmine Corp,Fnatic,Jayce,Naafiri,Taliyah,Ezreal,Alistar,Ambessa,Wukong,Azir,Varus,Rakan,33
LTA S,Leviatan,Fluxo W7M,Jayce,Sejuani,Taliyah,Kalista,Neeko,Rumble,Nocturne,Aurora,Ashe,Karma,31
LEC,Fnatic,Karmine Corp,Gnar,Zyra,Viktor,Miss Fortune,Rell,Aatrox,Brand,Corki,Ashe,Braum,27
LEC,Karmine Corp,Fnatic,K'Sante,Maokai,Ahri,Xayah,Nautilus,Rumble,Pantheon,Tristana,Kai'Sa,Leona,33
LTA S,LOUD,paiN Gaming,Rumble,Skarner,Azir,Miss Fortune,Alistar,Gwen,Ivern,Corki,Ezreal,Braum,30
LTA N,Shopify Rebellion,Cloud9,Ambessa,Naafiri,Aurora,Ezreal,Leona,Gnar,Vi,Taliyah,Varus,Alistar,20
LTA N,Team Liquid,100 Thieves,Jayce,Xin Zhao,Azir,Varus,Poppy,Aatrox,Naafiri,Ryze,Miss Fortune,Alistar,26
LTA N,Disguised,FlyQuest,Jayce,Vi,Azir,Ezreal,Poppy,Yorick,Xin Zhao,Taliyah,Corki,Rell,42
LTA N,LYON,Dignitas,Naafiri,Wukong,Ryze,Varus,Alistar,Gwen,Xin Zhao,Tristana,Ezreal,Karma,25
LCKC,Gen.G Global Academy,DN Freecs Challengers,Aatrox,Vi,Sylas,Miss Fortune,Neeko,Ambessa,Xin Zhao,Azir,Kalista,Renata Glasc,19
LCKC,DN Freecs Challengers,Gen.G Global Academy,Gnar,Naafiri,Galio,Kai'Sa,Rell,Jax,Wukong,Ahri,Jinx,Rakan,25
LCKC,Nongshim Esports Academy,KT Rolster Challengers,Rumble,Vi,Orianna,Kai'Sa,Alistar,Galio,Kindred,Aurora,Varus,Elise,25
LPL,EDward Gaming,LNG Esports,Rumble,Xin Zhao,Ahri,Jhin,Nautilus,Ambessa,Naafiri,Ryze,Miss Fortune,Rell,24
LCKC,BNK FEARX Youth,DRX Challengers,Rumble,Xin Zhao,Ahri,Xayah,Rakan,Jayce,Skarner,Azir,Kai'Sa,Nautilus,19
LPL,LNG Esports,EDward Gaming,Camille,Skarner,Azir,Kalista,Renata Glasc,Gnar,Vi,Hwei,Corki,Leona,13
LCKC,DRX Challengers,BNK FEARX Youth,Gwen,Nocturne,Viktor,Ezreal,Alistar,Ambessa,Wukong,Taliyah,Varus,Renata Glasc,32
LPL,EDward Gaming,LNG Esports,Poppy,Viego,Viktor,Varus,Gragas,K'Sante,Pantheon,Sylas,Ezreal,Karma,19
LPL,Top Esports,Weibo Gaming,Gwen,Vi,Ahri,Kai'Sa,Poppy,Gnar,Naafiri,Ryze,Jhin,Alistar,31
LPL,Weibo Gaming,Top Esports,Sion,Lillia,Taliyah,Ezreal,Leona,Jayce,Skarner,Azir,Miss Fortune,Rell,37
LPL,Top Esports,Weibo Gaming,Renekton,Sejuani,Viktor,Draven,Nautilus,Jax,Xin Zhao,Orianna,Corki,Braum,21
LEC,Rogue,GiantX,Olaf,Jarvan IV,Viktor,Ezreal,Rell,Aatrox,Sejuani,Hwei,Kai'Sa,Poppy,20
LEC,Movistar KOI,Team Heretics,Rumble,Sejuani,Yone,Varus,Rakan,Ambessa,Zyra,Tristana,Corki,Leona,22
LEC,Team Heretics,Movistar KOI,K'Sante,Skarner,Viktor,Draven,Rell,Aurora,Vi,Taliyah,Kai'Sa,Alistar,21
CD,Los Grandes,KaBuM! Ilha das Lendas,Ambessa,Wukong,Ahri,Varus,Alistar,Jax,Sejuani,Yone,Jhin,Rakan,24
CD,KaBuM! Ilha das Lendas,Los Grandes,Gwen,Pantheon,Corki,Kai'Sa,Nautilus,Gragas,Xin Zhao,Taliyah,Miss Fortune,Rell,37
CD,Corinthians Esports,RATZ,Rumble,Pantheon,Jayce,Varus,Nautilus,Ornn,Xin Zhao,Karma,Ezreal,Braum,32
CD,Corinthians Esports,RATZ,Gwen,Wukong,Ahri,Corki,Leona,Akali,Vi,Taliyah,Ashe,Alistar,35
LCKC,Dplus KIA Challengers,T1 Esports Academy,Gwen,Naafiri,Ahri,Corki,Rell,Ambessa,Xin Zhao,Ryze,Ezreal,Alistar,19
LCKC,Dplus KIA Challengers,T1 Esports Academy,Aatrox,Sejuani,Yone,Kai'Sa,Rakan,Gnar,Poppy,Viktor,Varus,Nautilus,13
LPL,FunPlus Phoenix,Top Esports,Ambessa,Skarner,Ahri,Miss Fortune,Nautilus,Jayce,Pantheon,Azir,Varus,Braum,23
LPL,FunPlus Phoenix,Top Esports,Sion,Lillia,Yone,Corki,Rell,Ornn,Nidalee,Tristana,Ezreal,Alistar,35
LCKC,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,Jayce,Sejuani,Ahri,Kalista,Nautilus,Kai'Sa,Vi,Taliyah,Sion,Neeko,31
LCKC,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,Yasuo,Viego,Orianna,Varus,Alistar,Draven,Nidalee,Tristana,Gnar,Leona,24
LPL,Anyone's Legend,Invictus Gaming,Ambessa,Lillia,Tristana,Varus,Poppy,Jayce,Sejuani,Yone,Ezreal,Alistar,35
LCKC,OKSavingsBank BRION Challengers,Hanwha Life Esports Challengers,Rumble,Skarner,Azir,Xayah,Rakan,Aatrox,Maokai,Viktor,Miss Fortune,Rell,21
LPL,Invictus Gaming,Anyone's Legend,Cho'Gath,Vi,Viktor,Miss Fortune,Nautilus,Sion,Xin Zhao,Taliyah,Kai'Sa,Rell,40
HM,BRUTE,GLORE,Gwen,Sejuani,Yone,Xayah,Rakan,Jax,Pantheon,Azir,Kai'Sa,Rell,37
HM,BRUTE,GLORE,Rumble,Xin Zhao,Akali,Corki,Neeko,Irelia,Nocturne,Orianna,Jinx,Leona,47
PRM,Eintracht Spandau,Kaufland Hangry Knights,Ornn,Naafiri,Viktor,Miss Fortune,Karma,Gnar,Maokai,Corki,Ezreal,Rell,26
LVP SL,Guasones,Veni Vidi Vici,Ornn,Nocturne,Ahri,Sivir,Nautilus,Rumble,Viego,Viktor,Varus,Alistar,37
PRM,E WIE EINFACH E-SPORTS,Berlin International Gaming,K'Sante,Gwen,Jayce,Mel,Nautilus,Aurora,Lillia,Yone,Varus,Leona,26
HM,Team UNiTY,Dynamo Eclot,Rumble,Naafiri,Taliyah,Varus,Leona,Jax,Pantheon,Viktor,Corki,Rell,35
PRM,Berlin International Gaming,E WIE EINFACH E-SPORTS,Ambessa,Maokai,Tristana,Kai'Sa,Rell,Sion,Dr. Mundo,Taliyah,Ezreal,Alistar,27
LVP SL,Ramboot Club,LUA Gaming,Gragas,Xin Zhao,Azir,Ezreal,Alistar,Ambessa,Skarner,Taliyah,Kai'Sa,Nautilus,35
PRM,Kaufland Hangry Knights,Eintracht Spandau,Jayce,Xin Zhao,Ryze,Kai'Sa,Leona,Ambessa,Dr. Mundo,Taliyah,Jhin,Alistar,40
HM,Dynamo Eclot,Team UNiTY,Ambessa,Wukong,Ahri,Ezreal,Alistar,Jayce,Maokai,Tristana,Kai'Sa,Nautilus,31
PRM,Eintracht Frankfurt,Dung Dynasty,Gwen,Jarvan IV,Viktor,Corki,Nautilus,Fiora,Elise,Yone,Kai'Sa,Rakan,18
LVP SL,Movistar KOI Fénix,ZETA,K'Sante,Naafiri,Akali,Varus,Rell,Gnar,Vi,Syndra,Miss Fortune,Alistar,33
LVP SL,Los Heretics,Barça eSports,K'Sante,Maokai,Azir,Miss Fortune,Alistar,Ambessa,Pantheon,Aurora,Varus,Rell,38
LRS,Malvinas Gaming,Seven Dark,Jayce,Xin Zhao,Ahri,Kai'Sa,Rakan,Rumble,Sejuani,Yone,Ashe,Nautilus,37
LVP SL,UCAM Esports,GIANTX Pride,Gwen,Maokai,Corki,Miss Fortune,Leona,Rumble,Skarner,Syndra,Jhin,Rakan,17
LRS,Seven Dark,Malvinas Gaming,Gnar,Pantheon,Viktor,Kalista,Renata Glasc,Aatrox,Vi,Azir,Corki,Neeko,40
CD,Vivo Keyd Stars Academy,Rise Gaming,Ambessa,Sejuani,Yone,Varus,Braum,K'Sante,Xin Zhao,Ahri,Ezreal,Leona,23
LRS,Malvinas Gaming,Seven Dark,Ambessa,Wukong,Orianna,Caitlyn,Elise,Aurora,Skarner,Sylas,Ezreal,Rell,42
CD,Rise Gaming,Vivo Keyd Stars Academy,Aatrox,Poppy,Azir,Jhin,Rakan,Fiora,Naafiri,Taliyah,Ashe,Nautilus,16
CD,Dopamina E-Sport,Stellae Gaming,Rumble,Skarner,Ahri,Miss Fortune,Rell,Aatrox,Naafiri,Galio,Ezreal,Rakan,25
LRS,Team Evermeet,WAP Esports,Ambessa,Pantheon,Ryze,Varus,Alistar,Renekton,Vi,Sylas,Kai'Sa,Leona,43
CD,Stellae Gaming,Dopamina E-Sport,Gwen,Wukong,Azir,Kalista,Renata Glasc,Jax,Sejuani,Akali,Ashe,Braum,38
LRS,WAP Esports,Team Evermeet,Jayce,Xin Zhao,Aurora,Ashe,Nautilus,Gnar,Skarner,Vladimir,Ezreal,Rell,18
LCK,DN Freecs,Hanwha Life Esports,Gwen,Naafiri,Ahri,Corki,Rakan,Jayce,Xin Zhao,Azir,Kai'Sa,Poppy,15
LCK,DN Freecs,Hanwha Life Esports,Ambessa,Sejuani,Taliyah,Tristana,Nautilus,Gnar,Nidalee,Ryze,Ezreal,Rell,30
LCK,Hanwha Life Esports,DN Freecs,Aurora,Vi,Akali,Zeri,Alistar,Rumble,Wukong,Orianna,Miss Fortune,Taric,27
LPL,LGD Gaming,Oh My God,Ambessa,Vi,Azir,Caitlyn,Neeko,Sion,Poppy,Ahri,Corki,Elise,36
LCK,Dplus KIA,OKSavingsBank BRION,Rumble,Naafiri,Ahri,Ezreal,Alistar,Aurora,Skarner,Yone,Kai'Sa,Elise,16
LPL,Oh My God,LGD Gaming,Renekton,Maokai,Yasuo,Varus,Rakan,Udyr,Lillia,Tristana,Miss Fortune,Alistar,47
LCK,OKSavingsBank BRION,Dplus KIA,Ambessa,Poppy,Azir,Corki,Rell,Renekton,Xin Zhao,Taliyah,Miss Fortune,Maokai,26
LPL,JD Gaming,Team WE,Kennen,Vi,Ahri,Miss Fortune,Alistar,Rumble,Gwen,Corki,Jhin,Nautilus,24
LPL,Team WE,JD Gaming,Ambessa,Naafiri,Aurora,Kai'Sa,Leona,Jayce,Xin Zhao,Viktor,Ezreal,Rell,31
HM,eSuba,Tan'i eSports CZ,Rumble,Sejuani,Yasuo,Jhin,Rell,Ornn,Maokai,Yone,Varus,Braum,34
LFL,BK ROG Esports,GameWard,Rumble,Sejuani,Yone,Jhin,Rakan,Aurora,Vi,Yasuo,Ashe,Renata Glasc,21
HM,Tan'i eSports CZ,eSuba,Renekton,Naafiri,Orianna,Miss Fortune,Leona,Jayce,Xin Zhao,Azir,Sivir,Alistar,40
PRM,Austrian Force willhaben,ROSSMANN Centaurs,Gwen,Jarvan IV,Ahri,Ezreal,Fiddlesticks,LeBlanc,Sejuani,Yone,Varus,Pyke,46
LVP SL,GIANTX Pride,Guasones,Jayce,Xin Zhao,Taliyah,Miss Fortune,Rell,Sion,Nocturne,Lux,Corki,Janna,33
NLC,KAOS e-sport,Los Ratones,Cho'Gath,Maokai,Tristana,Kai'Sa,Alistar,Galio,Vi,Azir,Jhin,Braum,35
LIT,Colossal Gaming,aNc Legends,Gwen,Viego,Azir,Varus,Leona,Jax,Kayn,Yone,Corki,Morgana,20
LFL,Vitality.Bee,Team BDS Academy,Jax,Jarvan IV,Azir,Sivir,Rell,Shen,Lillia,Corki,Miss Fortune,Leona,29
HM,Nightbirds,Entropiq,Jayce,Maokai,Viktor,Ezreal,Rell,Ambessa,Gwen,Galio,Varus,Rakan,18
NLC,Verdant,Venomcrest Esports,Ambessa,Naafiri,Viktor,Kai'Sa,Rakan,Gnar,Maokai,Tristana,Ezreal,Renata Glasc,27
LVP SL,ZETA,Ramboot Club,Ornn,Vi,Akali,Varus,Leona,Ambessa,Xin Zhao,Viktor,Corki,Alistar,49
LIT,GMBLERS Esports,Zena Esports,Aatrox,Sejuani,Gwen,Jhin,Rell,Rumble,Vi,Galio,Ashe,Leona,32
LFL,Galions,Ici Japon Corp. Esport,Sion,Maokai,Azir,Ezreal,Rell,Aatrox,Skarner,Akali,Varus,Rakan,32
HM,Entropiq,Nightbirds,K'Sante,Naafiri,Taliyah,Corki,Leona,Gangplank,Xin Zhao,Orianna,Miss Fortune,Alistar,31
NLC,Rich Gang,KAOS e-sport,Ornn,Pantheon,Orianna,Corki,Thresh,Poppy,Vi,Syndra,Caitlyn,Braum,24
LVP SL,Barça eSports,Veni Vidi Vici,Rumble,Vi,Ahri,Kai'Sa,Alistar,K'Sante,Kindred,Galio,Ezreal,Rakan,26
LIT,AVE Axolotl,EKO Esports,Jax,Maokai,Tristana,Jhin,Rell,Malphite,Gwen,Ryze,Aphelios,Alistar,16
LFL,Joblife,Gentle Mates,Gnar,Sejuani,Sylas,Varus,Karma,Aatrox,Maokai,Azir,Kalista,Rell,26
PRM,ROSSMANN Centaurs,Austrian Force willhaben,Ryze,Skarner,Corki,Ashe,Blitzcrank,Dr. Mundo,Lillia,Viktor,Caitlyn,Rell,22
NLC,Los Ratones,Verdant,Vi,Gwen,Ryze,Jhin,Rakan,Ambessa,Xin Zhao,Annie,Sivir,Rell,32
PRM,Unicorns of Love Sexy Edition,TeamOrangeGaming,Aatrox,Maokai,Corki,Varus,Braum,Rumble,Sejuani,Smolder,Tristana,Rell,39
LFL,Karmine Corp Blue,Solary,Aatrox,Maokai,Jayce,Ezreal,Leona,Rumble,Jarvan IV,Azir,Miss Fortune,Alistar,35
NLC,Venomcrest Esports,Rich Gang,Rumble,Poppy,Yone,Ezreal,Rell,K'Sante,Naafiri,Orianna,Sivir,Lulu,25
LVP SL,LUA Gaming,Los Heretics,Gwen,Poppy,Azir,Corki,Alistar,Akali,Sejuani,Yone,Varus,Braum,13
PRM,Unicorns of Love Sexy Edition,TeamOrangeGaming,Ambessa,Skarner,Azir,Sivir,Lulu,Renekton,Xin Zhao,Taliyah,Ezreal,Alistar,23
